id_monitor,timestamp,cpu_percent,ram_percent,disk_usage_percent,bytes_sent_per_sec,bytes_recv_per_sec,bpm_status,pa_status,spo2_status,resp_status,temperatura_status,pic_status,pvc_status,ecg_status,etco2_status
6,27-04-2026 19_17_16,36.8,75,27.1,2401.539784589892,279.4283015741508,Inativo,Ativo,Ativo,Ativo,Inativo,Inativo,Ativo,Ativo,Ativo
6,27-04-2026 19_18_23,29.8,80,27.1,175.5855178127589,1211.7330240265119,Inativo,Inativo,Ativo,Ativo,Ativo,Inativo,Inativo,Ativo,Ativo
6,27-04-2026 19_19_29,28.3,78,27.1,6139.88,5216.521193040597,Inativo,Inativo,Ativo,Ativo,Ativo,Inativo,Inativo,Ativo,Ativo
6,27-04-2026 19_20_35,36.1,84,27.1,972.9998674399338,775.8389063794532,Inativo,Inativo,Ativo,Ativo,Ativo,Inativo,Inativo,Ativo,Ativo
6,27-04-2026 19_21_41,27.5,86,27.1,2816.0338690969347,2729.556685998343,Inativo,Inativo,Ativo,Ativo,Ativo,Inativo,Inativo,Ativo,Ativo
6,27-04-2026 19_22_47,23.3,80,27.1,5511.911814415907,2603.7876387738197,Inativo,Inativo,Ativo,Ativo,Ativo,Inativo,Inativo,Ativo,Ativo
6,27-04-2026 19_23_53,48.0,77,27.1,5948.156752278376,325365.0514001657,Inativo,Inativo,Ativo,Ativo,Ativo,Inativo,Inativo,Ativo,Ativo
6,27-04-2026 19_24_59,43.0,85,27.1,5831.33362054681,2083.696669428335,Inativo,Inativo,Ativo,Ativo,Ativo,Inativo,Inativo,Ativo,Ativo
6,27-04-2026 19_26_06,30.7,75,27.1,14001.059386909692,11488.835824357911,Inativo,Inativo,Ativo,Ativo,Ativo,Ativo,Inativo,Ativo,Inativo
6,27-04-2026 19_27_12,37.0,80,27.1,1557.6417564208782,1807.60115990058,Inativo,Inativo,Ativo,Ativo,Ativo,Ativo,Inativo,Ativo,Inativo
6,27-04-2026 19_28_18,24.8,79,27.1,2847.6076884838444,2885.320861640431,Inativo,Inativo,Ativo,Ativo,Ativo,Ativo,Inativo,Ativo,Inativo
6,27-04-2026 19_29_24,30.7,77,27.1,172.95436619718308,354.67923777961886,Inativo,Inativo,Ativo,Ativo,Ativo,Ativo,Inativo,Ativo,Inativo
6,27-04-2026 19_30_30,25.4,84.9,27.1,114.19198011599005,174.53305716652858,Inativo,Inativo,Ativo,Ativo,Ativo,Ativo,Inativo,Ativo,Inativo
6,27-04-2026 19_31_36,26.4,77,27.1,195.93309030654515,231.01511184755591,Inativo,Inativo,Ativo,Ativo,Ativo,Ativo,Inativo,Ativo,Inativo
6,27-04-2026 19_32_42,34.6,80,27.1,88.5821043910522,324.3332891466446,Inativo,Inativo,Ativo,Ativo,Ativo,Ativo,Inativo,Ativo,Inativo
6,27-04-2026 19_33_49,47.4,76,27.1,166.8150124275062,190.31996685998342,Ativo,Ativo,Ativo,Ativo,Ativo,Inativo,Inativo,Ativo,Ativo
6,27-04-2026 19_34_55,38.3,80,27.1,2618.522087821044,11009.439999999999,Ativo,Ativo,Ativo,Ativo,Ativo,Inativo,Inativo,Ativo,Ativo
6,27-04-2026 19_36_01,37.7,74,27.1,78.93454846727424,216.80689312344654,Ativo,Ativo,Ativo,Ativo,Ativo,Inativo,Inativo,Ativo,Ativo
6,27-04-2026 19_37_07,44.3,72,27.1,160.8510687655344,263.9922120961061,Ativo,Ativo,Ativo,Ativo,Ativo,Inativo,Inativo,Ativo,Ativo
6,27-04-2026 19_38_13,38.8,79,27.1,83.84603148301574,365.2038442419221,Ativo,Ativo,Ativo,Ativo,Ativo,Inativo,Inativo,Ativo,Ativo
6,27-04-2026 19_39_19,36.2,78,27.1,39.29186412593206,174.70846727423364,Ativo,Ativo,Ativo,Ativo,Ativo,Inativo,Inativo,Ativo,Ativo
6,27-04-2026 19_40_25,38.9,74,27.1,105.77229494614747,259.43154929577463,Ativo,Ativo,Ativo,Ativo,Ativo,Inativo,Inativo,Ativo,Ativo
6,27-04-2026 19_41_31,37.1,78,27.1,1179.457564208782,800.0455012427507,Ativo,Ativo,Ativo,Ativo,Ativo,Inativo,Inativo,Ativo,Ativo
6,27-04-2026 19_42_37,38.2,80,27.1,44.20334714167357,82.0919304059652,Ativo,Ativo,Ativo,Ativo,Ativo,Inativo,Inativo,Ativo,Ativo
6,27-04-2026 19_43_44,40.5,82,27.1,5301.244275062138,7448.965633802817,Ativo,Ativo,Ativo,Ativo,Inativo,Inativo,Inativo,Inativo,Ativo
